x,y,om,blE,gM,s,t 
520940,2858500,0,44,56,0,0
520970,2858500,0,0,100,0,0
521000,2858500,3.555555556,55.55555556,40.88888889,0,0
521030,2858500,2.666666667,42.66666667,51.55555556,3.111111111,0
521060,2858500,0,0,100,0,0
521090,2858500,0,1.333333333,98.66666667,0,0
521120,2858500,11.55555556,81.33333333,7.111111111,0,0
521150,2858500,1.777777778,68,30.22222222,0,0
521180,2858500,12,72.88888889,10.22222222,4.888888889,0
521210,2858500,5.333333333,84,10.66666667,0,0
521240,2858500,0,93.33333333,6.666666667,0,0
521270,2858500,0,93.33333333,6.666666667,0,0
521300,2858500,0,92.44444444,7.555555556,0,0
521330,2858500,5.333333333,74.22222222,20.44444444,0,0
521360,2858500,0.444444444,68.44444444,31.11111111,0,0
521390,2858500,0,0,100,0,0
521420,2858500,3.555555556,2.222222222,94.22222222,0,0
521450,2858500,2.666666667,90.66666667,6.666666667,0,0
521480,2858500,0,93.33333333,6.666666667,0,0
521510,2858500,18.22222222,65.33333333,16.44444444,0,0
521540,2858500,0,29.77777778,66.66666667,3.555555556,0
521570,2858500,0,28.44444444,71.11111111,0.444444444,0
521600,2858500,2.222222222,0,97.77777778,0,0
521630,2858500,0,0,100,0,0
521660,2858500,5.777777778,0,94.22222222,0,0
521690,2858500,3.111111111,9.333333333,87.55555556,0,0
521720,2858500,1.777777778,2.222222222,96,0,0
521750,2858500,0,50.66666667,49.33333333,0,0
521780,2858500,9.777777778,8,82.22222222,0,0
521810,2858500,2.666666667,84.44444444,12.88888889,0,0
521840,2858500,0,93.33333333,6.666666667,0,0
521870,2858500,0.444444444,56,43.55555556,0,0
521900,2858500,0,0,100,0,0
521930,2858500,0,0,100,0,0
521960,2858500,0.888888889,51.11111111,48,0,0
521990,2858500,4.444444444,68.44444444,26.66666667,0.444444444,0
522020,2858500,0.444444444,1.333333333,98.22222222,0,0
522050,2858500,0,0,100,0,0
522080,2858500,0,0,100,0,0
522110,2858500,0,67.11111111,32.88888889,0,0
522140,2858500,1.333333333,76.44444444,22.22222222,0,0
522170,2858500,0,93.33333333,6.666666667,0,0
522200,2858500,0,16,84,0,0
522230,2858500,0,0,100,0,0
522260,2858500,0,0,100,0,0
522290,2858500,0,20.44444444,79.55555556,0,0
522320,2858500,0,93.33333333,6.666666667,0,0
522350,2858500,0,93.33333333,6.666666667,0,0
522380,2858500,0,93.33333333,6.666666667,0,0
522410,2858500,9.333333333,37.77777778,52.88888889,0,0
522440,2858500,0.888888889,0,99.11111111,0,0
522470,2858500,0,0,100,0,0
522500,2858500,6.666666667,30.22222222,59.11111111,4,0
522530,2858500,3.555555556,48.88888889,46.22222222,1.333333333,0
522560,2858500,0,0,100,0,0
522590,2858500,0,11.11111111,88.88888889,0,0
522620,2858500,0.444444444,90.66666667,6.666666667,2.222222222,0
522650,2858500,3.555555556,88.44444444,8,0,0
522680,2858500,0.444444444,16.88888889,82.66666667,0,0
522710,2858500,0,0,100,0,0
522740,2858500,0,3.555555556,96.44444444,0,0
522770,2858500,0,0,100,0,0
522800,2858500,0,0,100,0,0
522830,2858500,0,0,100,0,0
522860,2858500,0,0,100,0,0
522890,2858500,0,0,100,0,0
522920,2858500,0,0,100,0,0
522950,2858500,0,6.666666667,93.33333333,0,0
522980,2858500,0,49.77777778,50.22222222,0,0
523010,2858500,28.44444444,32.44444444,9.777777778,29.33333333,0
523040,2858500,30.22222222,13.33333333,7.555555556,40.88888889,8
523070,2858500,0,82.66666667,12.44444444,4.888888889,0
523100,2858500,0,90.22222222,9.777777778,0,0
523130,2858500,16,75.11111111,8.888888889,0,0
523160,2858500,10.22222222,83.11111111,6.666666667,0,0
523190,2858500,0,93.33333333,6.666666667,0,0
523220,2858500,0,62.22222222,37.77777778,0,0
523250,2858500,0,22.66666667,77.33333333,0,0
523280,2858500,0,28,72,0,0
523310,2858500,0,0,100,0,0
523340,2858500,24,13.77777778,62.22222222,0,0
523370,2858500,0,5.777777778,94.22222222,0,0
523400,2858500,0,0.888888889,99.11111111,0,0
523430,2858500,28,8.444444444,63.55555556,0,0
523460,2858500,12.88888889,80.44444444,6.666666667,0,0
523490,2858500,0,66.22222222,33.77777778,0,0
523520,2858500,0,0,100,0,0
523550,2858500,0,7.555555556,92.44444444,0,0
523580,2858500,4.888888889,1.777777778,93.33333333,0,0
523610,2858500,3.111111111,12,84.88888889,0,0
523640,2858500,1.777777778,31.11111111,67.11111111,0,0
523670,2858500,33.33333333,59.55555556,7.111111111,0,0
523700,2858500,72.44444444,16.44444444,11.11111111,0,0
523730,2858500,42.22222222,51.11111111,6.666666667,0,0
523760,2858500,82.66666667,8,9.333333333,0,0
523790,2858500,12,57.33333333,30.66666667,0,0
523820,2858500,4.888888889,19.11111111,76,0,0
523850,2858500,0,9.777777778,90.22222222,0,0
523880,2858500,4.888888889,24,71.11111111,0,0
523910,2858500,10.66666667,58.66666667,30.66666667,0,0
523940,2858500,34.22222222,48,17.77777778,0,0
523970,2858500,1.777777778,75.55555556,17.77777778,4.888888889,0
524000,2858500,19.11111111,55.11111111,25.77777778,0,0
524030,2858500,1.777777778,86.22222222,12,0,0
524060,2858500,48.88888889,44.44444444,6.666666667,0,0
524090,2858500,7.111111111,86.22222222,6.666666667,0,0
524120,2858500,27.55555556,65.77777778,6.666666667,0,0
524150,2858500,0,93.33333333,6.666666667,0,0
524180,2858500,3.111111111,88.44444444,8.444444444,0,0
524210,2858500,28.88888889,53.77777778,17.33333333,0,0
524240,2858500,57.77777778,33.33333333,8.888888889,0,0
524270,2858500,13.77777778,68.88888889,8,9.333333333,0
524300,2858500,15.55555556,75.55555556,8.888888889,0,0
524330,2858500,30.22222222,60.44444444,9.333333333,0,0
524360,2858500,29.33333333,57.33333333,13.33333333,0,0
524390,2858500,7.111111111,82.66666667,10.22222222,0,0
524420,2858500,22.22222222,47.55555556,30.22222222,0,0
524450,2858500,48.44444444,43.55555556,8,0,0
524480,2858500,56,36.44444444,7.555555556,0,0
524510,2858500,2.666666667,90.66666667,6.666666667,0,0
524540,2858500,0,92.88888889,7.111111111,0,0
524570,2858500,4,87.55555556,8.444444444,0,0
524600,2858500,6.222222222,86.22222222,6.666666667,0.888888889,0
524630,2858500,21.33333333,45.77777778,32.88888889,0,0
524660,2858500,9.333333333,26.66666667,64,0,0
524690,2858500,3.111111111,75.11111111,21.77777778,0,0
524720,2858500,4,76.88888889,19.11111111,0,0
524750,2858500,2.666666667,43.11111111,54.22222222,0,0
524780,2858500,31.11111111,61.77777778,7.111111111,0,0
524810,2858500,12,35.11111111,52.88888889,0,0
524840,2858500,0,0.444444444,99.55555556,0,0
524870,2858500,0,1.333333333,98.66666667,0,0
524900,2858500,10.66666667,68.88888889,20.44444444,0,0
524930,2858500,10.22222222,83.11111111,6.666666667,0,0
524960,2858500,16,76.44444444,7.555555556,0,0
524990,2858500,26.66666667,65.77777778,7.555555556,0,0
525020,2858500,34.22222222,50.22222222,15.55555556,0,0
525050,2858500,0.888888889,19.11111111,80,0,0
525080,2858500,0,9.777777778,90.22222222,0,0
525110,2858500,2.666666667,75.11111111,22.22222222,0,0
525140,2858500,2.222222222,83.11111111,6.666666667,8,0
525170,2858500,0,92.88888889,6.666666667,0.444444444,0
525200,2858500,18.66666667,72.88888889,8.444444444,0,0
525230,2858500,57.33333333,35.55555556,7.111111111,0,0
525260,2858500,17.77777778,75.55555556,6.666666667,0,0
525290,2858500,5.333333333,88,6.666666667,0,0
525320,2858500,6.666666667,78.66666667,14.66666667,0,0
525350,2858500,27.11111111,43.11111111,29.77777778,0,0
525380,2858500,40,39.11111111,20,0.888888889,0
525410,2858500,77.33333333,14.66666667,7.111111111,0.888888889,0
525440,2858500,13.33333333,16.44444444,70.22222222,0,0
525470,2858500,11.55555556,41.77777778,46.66666667,0,0
525500,2858500,24.44444444,65.33333333,10.22222222,0,0
525530,2858500,0,5.777777778,94.22222222,0,0
525560,2858500,0.444444444,0,99.55555556,0,0
525590,2858500,2.222222222,79.55555556,18.22222222,0,0
525620,2858500,0,93.33333333,6.666666667,0,0
525650,2858500,0,37.33333333,62.66666667,0,0
525680,2858500,0,0.444444444,99.55555556,0,0
525710,2858500,0,14.66666667,85.33333333,0,0
525740,2858500,0,16.88888889,83.11111111,0,0
525770,2858500,0,0,100,0,0
525800,2858500,0,0,100,0,0
525830,2858500,0,4,96,0,0
525860,2858500,0,0,100,0,0
525890,2858500,24,18.22222222,57.77777778,0,0
525920,2858500,9.777777778,23.55555556,66.66666667,0,0
525950,2858500,6.222222222,64.88888889,28.88888889,0,0
525980,2858500,1.333333333,87.55555556,10.22222222,0.888888889,0
526010,2858500,0,33.33333333,6.666666667,60,0
526040,2858500,0.444444444,0,6.666666667,92.88888889,0
526070,2858500,48.44444444,0,6.666666667,44.88888889,0
526100,2858500,58.66666667,0.444444444,6.666666667,34.22222222,0
526130,2858500,52.88888889,1.333333333,6.666666667,39.11111111,0
526160,2858500,28,0.444444444,6.666666667,64.88888889,0
526190,2858500,7.111111111,0,6.666666667,86.22222222,0
526220,2858500,10.22222222,0,6.666666667,83.11111111,0
526250,2858500,3.555555556,0,6.666666667,89.77777778,0
526280,2858500,0,0,6.666666667,93.33333333,0
526310,2858500,9.333333333,0,6.666666667,84,0
526340,2858500,27.11111111,1.333333333,6.666666667,64.44444444,0.444444444
526370,2858500,7.111111111,0.888888889,6.666666667,83.11111111,2.222222222
526400,2858500,7.555555556,1.777777778,6.666666667,80,4
526430,2858500,0.444444444,0,6.666666667,92.44444444,0.444444444
526460,2858500,0,0,6.666666667,90.22222222,3.111111111
526490,2858500,0,0,6.666666667,89.77777778,3.555555556
526520,2858500,0,0,6.666666667,91.55555556,1.777777778
526550,2858500,0.888888889,0,6.666666667,90.66666667,1.777777778
526580,2858500,0.444444444,0,6.666666667,92,0.888888889
526610,2858500,8.444444444,0.444444444,6.666666667,81.33333333,3.111111111
526640,2858500,4.444444444,0,6.666666667,88.44444444,0.444444444
526670,2858500,3.555555556,0,6.666666667,88.44444444,1.333333333
526700,2858500,0,0,6.666666667,93.33333333,0
526730,2858500,0,0,6.666666667,93.33333333,0
526760,2858500,0.444444444,0,6.666666667,92.88888889,0
526790,2858500,0,0,6.666666667,93.33333333,0
526820,2858500,0,0,6.666666667,93.33333333,0
526850,2858500,0,0,6.666666667,93.33333333,0
526880,2858500,0,0,6.666666667,93.33333333,0
526910,2858500,0,0,6.666666667,93.33333333,0
526940,2858500,0,0,6.666666667,93.33333333,0
526970,2858500,0,0,12.88888889,87.11111111,0
518000,2858530,11.11111111,16,70.22222222,2.222222222,0.444444444
518030,2858530,10.22222222,0,89.77777778,0,0
518060,2858530,21.77777778,48,30.22222222,0,0
518090,2858530,19.11111111,78.66666667,2.222222222,0,0
518120,2858530,1.777777778,33.33333333,64.88888889,0,0
518150,2858530,10.22222222,54.22222222,35.55555556,0,0
518180,2858530,0.888888889,86.66666667,12.44444444,0,0
518210,2858530,23.11111111,5.333333333,71.55555556,0,0
518240,2858530,17.77777778,24.44444444,57.77777778,0,0
518270,2858530,0,84.44444444,15.55555556,0,0
518300,2858530,5.333333333,33.33333333,61.33333333,0,0
518330,2858530,35.55555556,7.555555556,56.88888889,0,0
518360,2858530,15.55555556,1.333333333,83.11111111,0,0
518390,2858530,5.333333333,0,94.66666667,0,0
518420,2858530,9.777777778,4.444444444,85.77777778,0,0
518450,2858530,25.33333333,21.77777778,52.88888889,0,0
518480,2858530,0,100,0,0,0
518510,2858530,0,100,0,0,0
518540,2858530,2.666666667,30.22222222,67.11111111,0,0
518570,2858530,0,32.88888889,67.11111111,0,0
518600,2858530,1.777777778,0.444444444,97.77777778,0,0
518630,2858530,0.444444444,0,99.55555556,0,0
518660,2858530,1.333333333,0,98.66666667,0,0
518690,2858530,0,0,100,0,0
518720,2858530,22.66666667,57.77777778,19.55555556,0,0
518750,2858530,6.666666667,91.11111111,2.222222222,0,0
518780,2858530,0,98.22222222,1.777777778,0,0
518810,2858530,0,1.333333333,98.66666667,0,0
518840,2858530,0,0,100,0,0
518870,2858530,1.777777778,11.55555556,86.66666667,0,0
518900,2858530,0,65.33333333,34.66666667,0,0
518930,2858530,6.222222222,88.88888889,4.888888889,0,0
518960,2858530,9.777777778,23.55555556,66.66666667,0,0
518990,2858530,0,0,100,0,0
519020,2858530,0,0,100,0,0
519050,2858530,0.444444444,14.66666667,84.88888889,0,0
519080,2858530,1.777777778,69.33333333,28.88888889,0,0
519110,2858530,29.77777778,44.88888889,25.33333333,0,0
519140,2858530,26.66666667,16,57.33333333,0,0
519170,2858530,39.55555556,8.444444444,52,0,0
519200,2858530,56,5.777777778,0,37.77777778,0.444444444
519230,2858530,11.11111111,0,0,87.55555556,1.333333333
519260,2858530,13.33333333,0.444444444,0,86.22222222,0
519290,2858530,36.44444444,0.444444444,0.444444444,62.66666667,0
519320,2858530,15.11111111,46.22222222,7.555555556,31.11111111,0
519350,2858530,27.11111111,37.33333333,35.55555556,0,0
519380,2858530,59.55555556,9.333333333,31.11111111,0,0
519410,2858530,57.77777778,5.777777778,35.55555556,0.888888889,0
519440,2858530,72,20,7.555555556,0.444444444,0
519470,2858530,9.777777778,68.44444444,0,21.77777778,0
519500,2858530,16,56.44444444,27.55555556,0,0
519530,2858530,21.77777778,52,26.22222222,0,0
519560,2858530,8.444444444,63.55555556,28,0,0
519590,2858530,4.888888889,9.333333333,85.77777778,0,0
519620,2858530,4.888888889,0,95.11111111,0,0
519650,2858530,27.11111111,64.88888889,8,0,0
519680,2858530,31.11111111,68.88888889,0,0,0
519710,2858530,21.77777778,74.22222222,4,0,0
519740,2858530,11.55555556,7.555555556,80.88888889,0,0
519770,2858530,2.666666667,43.55555556,43.55555556,10.22222222,0
519800,2858530,6.666666667,19.55555556,72,1.777777778,0
519830,2858530,1.333333333,0,98.66666667,0,0
519860,2858530,1.777777778,0,98.22222222,0,0
519890,2858530,0.444444444,0,99.55555556,0,0
519920,2858530,0,0,100,0,0
519950,2858530,6.222222222,64.44444444,12.44444444,16.88888889,0
519980,2858530,4.888888889,34.22222222,60.44444444,0.444444444,0
520010,2858530,8.444444444,0,91.55555556,0,0
520040,2858530,4,9.333333333,86.66666667,0,0
520070,2858530,1.333333333,98.66666667,0,0,0
520100,2858530,9.777777778,90.22222222,0,0,0
520130,2858530,33.77777778,49.77777778,16.44444444,0,0
520160,2858530,53.33333333,23.55555556,23.11111111,0,0
520190,2858530,37.77777778,21.77777778,40.44444444,0,0
520220,2858530,16,6.222222222,77.77777778,0,0
520250,2858530,1.333333333,0,98.66666667,0,0
520280,2858530,0,0,100,0,0
520310,2858530,0,6.666666667,93.33333333,0,0
520340,2858530,6.222222222,61.33333333,32.44444444,0,0
520370,2858530,20.44444444,75.11111111,4.444444444,0,0
520400,2858530,15.11111111,1.333333333,83.55555556,0,0
520430,2858530,0,0,100,0,0
520460,2858530,12,16,72,0,0
520490,2858530,0,100,0,0,0
520520,2858530,0,51.55555556,48.44444444,0,0
520550,2858530,0,40.44444444,59.55555556,0,0
520580,2858530,0,100,0,0,0
520610,2858530,1.333333333,94.22222222,4.444444444,0,0
520640,2858530,1.333333333,32,66.66666667,0,0
520670,2858530,13.33333333,34.66666667,52,0,0
520700,2858530,8.888888889,36.88888889,54.22222222,0,0
520730,2858530,0,0,100,0,0
520760,2858530,0,44.88888889,55.11111111,0,0
520790,2858530,1.777777778,85.77777778,12.44444444,0,0
520820,2858530,4.888888889,6.666666667,88.44444444,0,0
520850,2858530,0.444444444,0,99.55555556,0,0
520880,2858530,1.333333333,0.444444444,98.22222222,0,0
520910,2858530,0,0,100,0,0
520940,2858530,1.777777778,18.22222222,80,0,0
520970,2858530,0,0,100,0,0
521000,2858530,3.555555556,15.55555556,80.88888889,0,0
521030,2858530,0.444444444,12.44444444,87.11111111,0,0
521060,2858530,0,0,100,0,0
521090,2858530,0.444444444,19.11111111,80.44444444,0,0
521120,2858530,0,92,8,0,0
521150,2858530,3.111111111,84,12.88888889,0,0
521180,2858530,34.66666667,48.88888889,2.666666667,13.77777778,0
521210,2858530,16.88888889,40,0.888888889,42.22222222,0
521240,2858530,4.444444444,78.22222222,0,17.33333333,0
521270,2858530,0.444444444,48.88888889,1.333333333,49.33333333,0
521300,2858530,0,62.22222222,2.666666667,35.11111111,0
521330,2858530,5.777777778,83.11111111,11.11111111,0,0
521360,2858530,0.444444444,66.66666667,32.88888889,0,0
521390,2858530,0,7.111111111,92.88888889,0,0
521420,2858530,1.333333333,43.11111111,55.55555556,0,0
521450,2858530,18.22222222,78.22222222,3.555555556,0,0
521480,2858530,1.333333333,98.66666667,0,0,0
521510,2858530,0,100,0,0,0
521540,2858530,0,52,48,0,0
521570,2858530,0,0,100,0,0
521600,2858530,0,0,100,0,0
521630,2858530,0,0,100,0,0
521660,2858530,0,0,100,0,0
521690,2858530,0,0.444444444,99.55555556,0,0
521720,2858530,0,5.777777778,94.22222222,0,0
521750,2858530,3.555555556,72,24.44444444,0,0
521780,2858530,0,0.888888889,99.11111111,0,0
521810,2858530,0,87.11111111,12.88888889,0,0
521840,2858530,1.333333333,97.77777778,0.888888889,0,0
521870,2858530,0,64.88888889,35.11111111,0,0
521900,2858530,0,0,100,0,0
521930,2858530,0,0,100,0,0
521960,2858530,3.555555556,76,20.44444444,0,0
521990,2858530,5.777777778,93.33333333,0.888888889,0,0
522020,2858530,0,20.88888889,79.11111111,0,0
522050,2858530,0,0,100,0,0
522080,2858530,0,0,100,0,0
522110,2858530,0.888888889,36.44444444,62.66666667,0,0
522140,2858530,0,92.88888889,7.111111111,0,0
522170,2858530,0.444444444,99.11111111,0.444444444,0,0
522200,2858530,0.444444444,18.66666667,80.88888889,0,0
522230,2858530,3.111111111,0,96.88888889,0,0
522260,2858530,0,0,100,0,0
522290,2858530,0,18.22222222,81.77777778,0,0
522320,2858530,0,100,0,0,0
522350,2858530,0,99.11111111,0.888888889,0,0
522380,2858530,0,100,0,0,0
522410,2858530,0,55.55555556,44.44444444,0,0
522440,2858530,0,0,100,0,0
522470,2858530,0,0,100,0,0
522500,2858530,1.333333333,32.44444444,66.22222222,0,0
522530,2858530,0,63.11111111,36.88888889,0,0
522560,2858530,0,15.55555556,84.44444444,0,0
522590,2858530,0,8.444444444,91.55555556,0,0
522620,2858530,0,100,0,0,0
522650,2858530,0.888888889,79.55555556,19.55555556,0,0
522680,2858530,0.888888889,20.44444444,78.66666667,0,0
522710,2858530,0,0,100,0,0
522740,2858530,0,0,100,0,0
522770,2858530,0,0,100,0,0
522800,2858530,0,0,100,0,0
522830,2858530,0,0,100,0,0
522860,2858530,0,0,100,0,0
522890,2858530,0,0,100,0,0
522920,2858530,0,0,100,0,0
522950,2858530,0,1.777777778,98.22222222,0,0
522980,2858530,0,7.111111111,92.88888889,0,0
523010,2858530,4.444444444,7.111111111,88.44444444,0,0
523040,2858530,2.666666667,35.55555556,61.77777778,0,0
523070,2858530,0.888888889,81.33333333,17.77777778,0,0
523100,2858530,0,61.77777778,38.22222222,0,0
523130,2858530,0,77.33333333,22.66666667,0,0
523160,2858530,0,95.11111111,4.888888889,0,0
523190,2858530,0,94.66666667,5.333333333,0,0
523220,2858530,0,24,76,0,0
523250,2858530,0,0,100,0,0
523280,2858530,0,6.666666667,93.33333333,0,0
523310,2858530,0,0,100,0,0
523340,2858530,2.222222222,4,93.77777778,0,0
523370,2858530,0.444444444,3.555555556,96,0,0
523400,2858530,0,0,100,0,0
523430,2858530,27.11111111,19.11111111,53.77777778,0,0
523460,2858530,31.55555556,68.44444444,0,0,0
523490,2858530,2.222222222,85.33333333,11.11111111,1.333333333,0
523520,2858530,5.777777778,2.666666667,91.55555556,0,0
523550,2858530,5.777777778,23.55555556,70.66666667,0,0
523580,2858530,12,57.77777778,30.22222222,0,0
523610,2858530,3.555555556,28.44444444,68,0,0
523640,2858530,0,15.55555556,84.44444444,0,0
523670,2858530,16.88888889,79.11111111,4,0,0
523700,2858530,65.77777778,33.33333333,0.888888889,0,0
523730,2858530,80,14.66666667,5.333333333,0,0
523760,2858530,71.55555556,27.11111111,1.333333333,0,0
523790,2858530,7.555555556,15.11111111,77.33333333,0,0
523820,2858530,0,0,100,0,0
523850,2858530,0.888888889,5.333333333,93.77777778,0,0
523880,2858530,44.88888889,24.44444444,30.66666667,0,0
523910,2858530,52,41.33333333,6.666666667,0,0
523940,2858530,14.22222222,60.44444444,25.33333333,0,0
523970,2858530,10.22222222,88.88888889,0.888888889,0,0
524000,2858530,13.33333333,80.44444444,6.222222222,0,0
524030,2858530,22.22222222,56.88888889,20.88888889,0,0
524060,2858530,79.55555556,16.44444444,4,0,0
524090,2858530,49.77777778,49.33333333,0.888888889,0,0
524120,2858530,18.22222222,79.11111111,2.666666667,0,0
524150,2858530,3.555555556,96.44444444,0,0,0
524180,2858530,0,100,0,0,0
524210,2858530,57.77777778,36.88888889,5.333333333,0,0
524240,2858530,54.22222222,45.77777778,0,0,0
524270,2858530,12.44444444,86.66666667,0.888888889,0,0
524300,2858530,28.44444444,71.11111111,0.444444444,0,0
524330,2858530,24.44444444,75.11111111,0.444444444,0,0
524360,2858530,13.33333333,59.55555556,27.11111111,0,0
524390,2858530,0.888888889,27.55555556,71.55555556,0,0
524420,2858530,14.66666667,59.11111111,26.22222222,0,0
524450,2858530,28.88888889,42.22222222,28.88888889,0,0
524480,2858530,42.66666667,41.33333333,16,0,0
524510,2858530,8.444444444,81.77777778,9.777777778,0,0
524540,2858530,1.777777778,86.66666667,11.55555556,0,0
524570,2858530,0.444444444,98.22222222,1.333333333,0,0
524600,2858530,3.555555556,95.55555556,0.444444444,0.444444444,0
524630,2858530,2.222222222,43.55555556,54.22222222,0,0
524660,2858530,1.777777778,9.777777778,88.44444444,0,0
524690,2858530,15.11111111,32.88888889,52,0,0
524720,2858530,6.666666667,28.44444444,64.88888889,0,0
524750,2858530,3.555555556,95.55555556,0.888888889,0,0
524780,2858530,13.77777778,82.22222222,4,0,0
524810,2858530,39.11111111,45.33333333,12.88888889,2.666666667,0
524840,2858530,18.22222222,37.77777778,44,0,0
524870,2858530,8.888888889,71.11111111,20,0,0
524900,2858530,1.333333333,98.66666667,0,0,0
524930,2858530,14.66666667,80.88888889,4.444444444,0,0
524960,2858530,16.88888889,60.44444444,22.66666667,0,0
524990,2858530,16,63.11111111,20.88888889,0,0
525020,2858530,28.88888889,37.33333333,33.77777778,0,0
525050,2858530,3.111111111,23.11111111,73.77777778,0,0
525080,2858530,0.444444444,18.66666667,80.88888889,0,0
525110,2858530,3.111111111,72.88888889,22.22222222,1.777777778,0
525140,2858530,6.222222222,77.33333333,0.444444444,16,0
525170,2858530,1.777777778,96.88888889,1.333333333,0,0
